title,label
Government bans internet permanently across India,0
India becomes richest country overnight,0
Aliens land in Mumbai and meet officials,0
All exams permanently cancelled nationwide,0
Petrol price reduced to 2 rupees per litre,0
India wins FIFA World Cup without playing,0
Scientists prove humans don’t need sleep,0
Government announces free money for all citizens,0
Earth will stop rotating for 5 minutes tomorrow,0
Mobile companies give free lifetime recharge,0
India shifts capital city to a floating island,0
Sun will not rise for two days next week,0
Government removes all taxes permanently,0
Time travel machine invented in India,0
People can now live without food for months,0
India bans use of all smartphones completely,0
New law allows citizens to avoid all bills,0
India to print unlimited currency for citizens,0
Moon to come closer to Earth this year,0
Free electricity for life announced nationwide,0
India replaces currency with digital coins only,0
All jobs to be replaced by robots in India,0
Government to provide free houses to everyone instantly,0
Earth gravity to reduce by 50 percent tomorrow,0
India declares national holiday for entire year,0
New vaccine makes humans immortal,0
Internet to shut down globally next month,0
India to move entirely to underground cities,0
All vehicles banned from roads permanently,0
Weather will remain same for entire year,0
India to provide free cars to all citizens,0
People can now breathe underwater naturally,0
New rule allows skipping all education requirements,0
India to eliminate all diseases by next month,0
Sunlight to disappear for one week globally,0
Government to double everyone’s salary instantly,0
India to shift to 3-hour workday permanently,0
Humans can now fly without equipment,0
India to cancel all bank loans permanently,0
All countries merge into one nation,0
Earth to experience 48-hour day cycle soon,0
India to ban all exams forever,0
New discovery allows humans to become invisible,0
Government to provide free food forever,0
India to remove all traffic rules permanently,0
New law allows unlimited holidays for workers,0
People will stop aging after new discovery,0
India to eliminate need for electricity,0
All diseases cured permanently worldwide,0
India to switch off internet for one year,0
Humans can survive without oxygen now,0
India to become only country in the world,0
Government to make everything free from tomorrow,0
Earth to stop orbiting the sun briefly,0
India to replace schools with virtual reality only,0
New device allows mind reading officially,0
India to give universal income to everyone instantly,0
All phones to stop working next week,0
Weather will be controlled by government,0
India to abolish all laws permanently,0
